"COUNTRY","Country","BIRTH","Place of birth","GENDER","Gender","RATE","Rate","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","FB","Foreign-born","WMN","Women","N_RATE","Employment rate","2000","2000","PC","Percentage","0","Units",,,54.7,,
"AUS","Australia","FB","Foreign-born","WMN","Women","N_RATE","Employment rate","2001","2001","PC","Percentage","0","Units",,,54,,
"AUS","Australia","FB","Foreign-born","WMN","Women","N_RATE","Employment rate","2002","2002","PC","Percentage","0","Units",,,55,,
"AUS","Australia","FB","Foreign-born","WMN","Women","N_RATE","Employment rate","2003","2003","PC","Percentage","0","Units",,,55.8,,
"AUS","Australia","FB","Foreign-born","WMN","Women","N_RATE","Employment rate","2004","2004","PC","Percentage","0","Units",,,56.7,,
"AUS","Australia","FB","Foreign-born","WMN","Women","N_RATE","Employment rate","2005","2005","PC","Percentage","0","Units",,,58.4,,
"AUS","Australia","FB","Foreign-born","WMN","Women","N_RATE","Employment rate","2006","2006","PC","Percentage","0","Units",,,58.7,,
"AUS","Australia","FB","Foreign-born","WMN","Women","N_RATE","Employment rate","2007","2007","PC","Percentage","0","Units",,,59.6,,
"AUS","Australia","FB","Foreign-born","WMN","Women","N_RATE","Employment rate","2008","2008","PC","Percentage","0","Units",,,61.2,,
"AUS","Australia","FB","Foreign-born","WMN","Women","N_RATE","Employment rate","2009","2009","PC","Percentage","0","Units",,,60.1,,
"AUS","Australia","FB","Foreign-born","WMN","Women","N_RATE","Employment rate","2010","2010","PC","Percentage","0","Units",,,60.7,,
"AUS","Australia","FB","Foreign-born","WMN","Women","N_RATE","Employment rate","2011","2011","PC","Percentage","0","Units",,,61.9,,
"AUS","Australia","FB","Foreign-born","WMN","Women","N_RATE","Employment rate","2012","2012","PC","Percentage","0","Units",,,61.5,,
"AUS","Australia","FB","Foreign-born","WMN","Women","N_RATE","Employment rate","2013","2013","PC","Percentage","0","Units",,,62,,
"AUS","Australia","FB","Foreign-born","WMN","Women","N_RATE","Employment rate","2014","2014","PC","Percentage","0","Units",,,61.7,,
"AUS","Australia","FB","Foreign-born","WMN","Women","N_RATE","Employment rate","2015","2015","PC","Percentage","0","Units",,,61.4,,
"AUS","Australia","FB","Foreign-born","WMN","Women","N_RATE","Employment rate","2016","2016","PC","Percentage","0","Units",,,62,,
"AUS","Australia","FB","Foreign-born","WMN","Women","N_RATE","Employment rate","2017","2017","PC","Percentage","0","Units",,,62.7,,
"AUS","Australia","FB","Foreign-born","WMN","Women","N_RATE","Employment rate","2018","2018","PC","Percentage","0","Units",,,64.3,,
"AUS","Australia","FB","Foreign-born","WMN","Women","N_RATE","Employment rate","2019","2019","PC","Percentage","0","Units",,,65.3,,
"AUS","Australia","FB","Foreign-born","WMN","Women","U_RATE","Unemployment rate","2000","2000","PC","Percentage","0","Units",,,6.9,,
"AUS","Australia","FB","Foreign-born","WMN","Women","U_RATE","Unemployment rate","2001","2001","PC","Percentage","0","Units",,,7.5,,
"AUS","Australia","FB","Foreign-born","WMN","Women","U_RATE","Unemployment rate","2002","2002","PC","Percentage","0","Units",,,6.9,,
"AUS","Australia","FB","Foreign-born","WMN","Women","U_RATE","Unemployment rate","2003","2003","PC","Percentage","0","Units",,,6.3,,
"AUS","Australia","FB","Foreign-born","WMN","Women","U_RATE","Unemployment rate","2004","2004","PC","Percentage","0","Units",,,5.9,,
"AUS","Australia","FB","Foreign-born","WMN","Women","U_RATE","Unemployment rate","2005","2005","PC","Percentage","0","Units",,,5.5,,
"AUS","Australia","FB","Foreign-born","WMN","Women","U_RATE","Unemployment rate","2006","2006","PC","Percentage","0","Units",,,5.4,,
"AUS","Australia","FB","Foreign-born","WMN","Women","U_RATE","Unemployment rate","2007","2007","PC","Percentage","0","Units",,,5.5,,
"AUS","Australia","FB","Foreign-born","WMN","Women","U_RATE","Unemployment rate","2008","2008","PC","Percentage","0","Units",,,5.2,,
"AUS","Australia","FB","Foreign-born","WMN","Women","U_RATE","Unemployment rate","2009","2009","PC","Percentage","0","Units",,,6.8,,
"AUS","Australia","FB","Foreign-born","WMN","Women","U_RATE","Unemployment rate","2010","2010","PC","Percentage","0","Units",,,6.1,,
"AUS","Australia","FB","Foreign-born","WMN","Women","U_RATE","Unemployment rate","2011","2011","PC","Percentage","0","Units",,,6,,
"AUS","Australia","FB","Foreign-born","WMN","Women","U_RATE","Unemployment rate","2012","2012","PC","Percentage","0","Units",,,6,,
"AUS","Australia","FB","Foreign-born","WMN","Women","U_RATE","Unemployment rate","2013","2013","PC","Percentage","0","Units",,,6.1,,
"AUS","Australia","FB","Foreign-born","WMN","Women","U_RATE","Unemployment rate","2014","2014","PC","Percentage","0","Units",,,6.6,,
"AUS","Australia","FB","Foreign-born","WMN","Women","U_RATE","Unemployment rate","2015","2015","PC","Percentage","0","Units",,,6.8,,
"AUS","Australia","FB","Foreign-born","WMN","Women","U_RATE","Unemployment rate","2016","2016","PC","Percentage","0","Units",,,6.7,,
"AUS","Australia","FB","Foreign-born","WMN","Women","U_RATE","Unemployment rate","2017","2017","PC","Percentage","0","Units",,,6.9,,
"AUS","Australia","FB","Foreign-born","WMN","Women","U_RATE","Unemployment rate","2018","2018","PC","Percentage","0","Units",,,6.5,,
"AUS","Australia","FB","Foreign-born","WMN","Women","U_RATE","Unemployment rate","2019","2019","PC","Percentage","0","Units",,,6.2,,
"AUS","Australia","FB","Foreign-born","WMN","Women","P_RATE","Participation rate","2000","2000","PC","Percentage","0","Units",,,58.7,,
"AUS","Australia","FB","Foreign-born","WMN","Women","P_RATE","Participation rate","2001","2001","PC","Percentage","0","Units",,,58.4,,
"AUS","Australia","FB","Foreign-born","WMN","Women","P_RATE","Participation rate","2002","2002","PC","Percentage","0","Units",,,59.1,,
"AUS","Australia","FB","Foreign-born","WMN","Women","P_RATE","Participation rate","2003","2003","PC","Percentage","0","Units",,,59.6,,
"AUS","Australia","FB","Foreign-born","WMN","Women","P_RATE","Participation rate","2004","2004","PC","Percentage","0","Units",,,60.2,,
"AUS","Australia","FB","Foreign-born","WMN","Women","P_RATE","Participation rate","2005","2005","PC","Percentage","0","Units",,,61.8,,
"AUS","Australia","FB","Foreign-born","WMN","Women","P_RATE","Participation rate","2006","2006","PC","Percentage","0","Units",,,62,,
"AUS","Australia","FB","Foreign-born","WMN","Women","P_RATE","Participation rate","2007","2007","PC","Percentage","0","Units",,,63.1,,
"AUS","Australia","FB","Foreign-born","WMN","Women","P_RATE","Participation rate","2008","2008","PC","Percentage","0","Units",,,64.6,,
"AUS","Australia","FB","Foreign-born","WMN","Women","P_RATE","Participation rate","2009","2009","PC","Percentage","0","Units",,,64.5,,
"AUS","Australia","FB","Foreign-born","WMN","Women","P_RATE","Participation rate","2010","2010","PC","Percentage","0","Units",,,64.7,,
"AUS","Australia","FB","Foreign-born","WMN","Women","P_RATE","Participation rate","2011","2011","PC","Percentage","0","Units",,,65.9,,
"AUS","Australia","FB","Foreign-born","WMN","Women","P_RATE","Participation rate","2012","2012","PC","Percentage","0","Units",,,65.5,,
"AUS","Australia","FB","Foreign-born","WMN","Women","P_RATE","Participation rate","2013","2013","PC","Percentage","0","Units",,,66,,
"AUS","Australia","FB","Foreign-born","WMN","Women","P_RATE","Participation rate","2014","2014","PC","Percentage","0","Units",,,66.1,,
"AUS","Australia","FB","Foreign-born","WMN","Women","P_RATE","Participation rate","2015","2015","PC","Percentage","0","Units",,,65.9,,
"AUS","Australia","FB","Foreign-born","WMN","Women","P_RATE","Participation rate","2016","2016","PC","Percentage","0","Units",,,66.5,,
"AUS","Australia","FB","Foreign-born","WMN","Women","P_RATE","Participation rate","2017","2017","PC","Percentage","0","Units",,,67.3,,
"AUS","Australia","FB","Foreign-born","WMN","Women","P_RATE","Participation rate","2018","2018","PC","Percentage","0","Units",,,68.8,,
"AUS","Australia","FB","Foreign-born","WMN","Women","P_RATE","Participation rate","2019","2019","PC","Percentage","0","Units",,,69.7,,
"AUS","Australia","FB","Foreign-born","TOT","Total","N_RATE","Employment rate","2000","2000","PC","Percentage","0","Units",,,64.4,,
"AUS","Australia","FB","Foreign-born","TOT","Total","N_RATE","Employment rate","2001","2001","PC","Percentage","0","Units",,,64,,
"AUS","Australia","FB","Foreign-born","TOT","Total","N_RATE","Employment rate","2002","2002","PC","Percentage","0","Units",,,64.5,,
"AUS","Australia","FB","Foreign-born","TOT","Total","N_RATE","Employment rate","2003","2003","PC","Percentage","0","Units",,,64.9,,
"AUS","Australia","FB","Foreign-born","TOT","Total","N_RATE","Employment rate","2004","2004","PC","Percentage","0","Units",,,66,,
"AUS","Australia","FB","Foreign-born","TOT","Total","N_RATE","Employment rate","2005","2005","PC","Percentage","0","Units",,,67.4,,
"AUS","Australia","FB","Foreign-born","TOT","Total","N_RATE","Employment rate","2006","2006","PC","Percentage","0","Units",,,67.9,,
"AUS","Australia","FB","Foreign-born","TOT","Total","N_RATE","Employment rate","2007","2007","PC","Percentage","0","Units",,,68.6,,
"AUS","Australia","FB","Foreign-born","TOT","Total","N_RATE","Employment rate","2008","2008","PC","Percentage","0","Units",,,69.8,,
"AUS","Australia","FB","Foreign-born","TOT","Total","N_RATE","Employment rate","2009","2009","PC","Percentage","0","Units",,,68.3,,
"AUS","Australia","FB","Foreign-born","TOT","Total","N_RATE","Employment rate","2010","2010","PC","Percentage","0","Units",,,69.2,,
"AUS","Australia","FB","Foreign-born","TOT","Total","N_RATE","Employment rate","2011","2011","PC","Percentage","0","Units",,,70.5,,
"AUS","Australia","FB","Foreign-born","TOT","Total","N_RATE","Employment rate","2012","2012","PC","Percentage","0","Units",,,70,,
"AUS","Australia","FB","Foreign-born","TOT","Total","N_RATE","Employment rate","2013","2013","PC","Percentage","0","Units",,,69.7,,
"AUS","Australia","FB","Foreign-born","TOT","Total","N_RATE","Employment rate","2014","2014","PC","Percentage","0","Units",,,69.6,,
"AUS","Australia","FB","Foreign-born","TOT","Total","N_RATE","Employment rate","2015","2015","PC","Percentage","0","Units",,,69.9,,
"AUS","Australia","FB","Foreign-born","TOT","Total","N_RATE","Employment rate","2016","2016","PC","Percentage","0","Units",,,70.3,,
"AUS","Australia","FB","Foreign-born","TOT","Total","N_RATE","Employment rate","2017","2017","PC","Percentage","0","Units",,,70.8,,
"AUS","Australia","FB","Foreign-born","TOT","Total","N_RATE","Employment rate","2018","2018","PC","Percentage","0","Units",,,72,,
"AUS","Australia","FB","Foreign-born","TOT","Total","N_RATE","Employment rate","2019","2019","PC","Percentage","0","Units",,,72.3,,
"AUS","Australia","FB","Foreign-born","TOT","Total","U_RATE","Unemployment rate","2000","2000","PC","Percentage","0","Units",,,6.7,,
"AUS","Australia","FB","Foreign-born","TOT","Total","U_RATE","Unemployment rate","2001","2001","PC","Percentage","0","Units",,,7.3,,
"AUS","Australia","FB","Foreign-born","TOT","Total","U_RATE","Unemployment rate","2002","2002","PC","Percentage","0","Units",,,6.8,,
"AUS","Australia","FB","Foreign-born","TOT","Total","U_RATE","Unemployment rate","2003","2003","PC","Percentage","0","Units",,,6.4,,
"AUS","Australia","FB","Foreign-born","TOT","Total","U_RATE","Unemployment rate","2004","2004","PC","Percentage","0","Units",,,5.5,,
"AUS","Australia","FB","Foreign-born","TOT","Total","U_RATE","Unemployment rate","2005","2005","PC","Percentage","0","Units",,,5.3,,
"AUS","Australia","FB","Foreign-born","TOT","Total","U_RATE","Unemployment rate","2006","2006","PC","Percentage","0","Units",,,5.1,,
"AUS","Australia","FB","Foreign-born","TOT","Total","U_RATE","Unemployment rate","2007","2007","PC","Percentage","0","Units",,,4.9,,
"AUS","Australia","FB","Foreign-born","TOT","Total","U_RATE","Unemployment rate","2008","2008","PC","Percentage","0","Units",,,4.6,,
"AUS","Australia","FB","Foreign-born","TOT","Total","U_RATE","Unemployment rate","2009","2009","PC","Percentage","0","Units",,,6.7,,
"AUS","Australia","FB","Foreign-born","TOT","Total","U_RATE","Unemployment rate","2010","2010","PC","Percentage","0","Units",,,5.5,,
"AUS","Australia","FB","Foreign-born","TOT","Total","U_RATE","Unemployment rate","2011","2011","PC","Percentage","0","Units",,,5.2,,
"AUS","Australia","FB","Foreign-born","TOT","Total","U_RATE","Unemployment rate","2012","2012","PC","Percentage","0","Units",,,5.4,,
"AUS","Australia","FB","Foreign-born","TOT","Total","U_RATE","Unemployment rate","2013","2013","PC","Percentage","0","Units",,,5.9,,
"AUS","Australia","FB","Foreign-born","TOT","Total","U_RATE","Unemployment rate","2014","2014","PC","Percentage","0","Units",,,6.1,,
"AUS","Australia","FB","Foreign-born","TOT","Total","U_RATE","Unemployment rate","2015","2015","PC","Percentage","0","Units",,,6.2,,
"AUS","Australia","FB","Foreign-born","TOT","Total","U_RATE","Unemployment rate","2016","2016","PC","Percentage","0","Units",,,6,,
"AUS","Australia","FB","Foreign-born","TOT","Total","U_RATE","Unemployment rate","2017","2017","PC","Percentage","0","Units",,,5.9,,
"AUS","Australia","FB","Foreign-born","TOT","Total","U_RATE","Unemployment rate","2018","2018","PC","Percentage","0","Units",,,5.5,,
"AUS","Australia","FB","Foreign-born","TOT","Total","U_RATE","Unemployment rate","2019","2019","PC","Percentage","0","Units",,,5.5,,
"AUS","Australia","FB","Foreign-born","TOT","Total","P_RATE","Participation rate","2000","2000","PC","Percentage","0","Units",,,69,,
"AUS","Australia","FB","Foreign-born","TOT","Total","P_RATE","Participation rate","2001","2001","PC","Percentage","0","Units",,,69,,
"AUS","Australia","FB","Foreign-born","TOT","Total","P_RATE","Participation rate","2002","2002","PC","Percentage","0","Units",,,69.2,,
"AUS","Australia","FB","Foreign-born","TOT","Total","P_RATE","Participation rate","2003","2003","PC","Percentage","0","Units",,,69.3,,
"AUS","Australia","FB","Foreign-born","TOT","Total","P_RATE","Participation rate","2004","2004","PC","Percentage","0","Units",,,69.9,,
"AUS","Australia","FB","Foreign-born","TOT","Total","P_RATE","Participation rate","2005","2005","PC","Percentage","0","Units",,,71.2,,
"AUS","Australia","FB","Foreign-born","TOT","Total","P_RATE","Participation rate","2006","2006","PC","Percentage","0","Units",,,71.5,,
"AUS","Australia","FB","Foreign-born","TOT","Total","P_RATE","Participation rate","2007","2007","PC","Percentage","0","Units",,,72.1,,
"AUS","Australia","FB","Foreign-born","TOT","Total","P_RATE","Participation rate","2008","2008","PC","Percentage","0","Units",,,73.2,,
"AUS","Australia","FB","Foreign-born","TOT","Total","P_RATE","Participation rate","2009","2009","PC","Percentage","0","Units",,,73.2,,
"AUS","Australia","FB","Foreign-born","TOT","Total","P_RATE","Participation rate","2010","2010","PC","Percentage","0","Units",,,73.3,,
"AUS","Australia","FB","Foreign-born","TOT","Total","P_RATE","Participation rate","2011","2011","PC","Percentage","0","Units",,,74.4,,
"AUS","Australia","FB","Foreign-born","TOT","Total","P_RATE","Participation rate","2012","2012","PC","Percentage","0","Units",,,74,,
"AUS","Australia","FB","Foreign-born","TOT","Total","P_RATE","Participation rate","2013","2013","PC","Percentage","0","Units",,,74.1,,
"AUS","Australia","FB","Foreign-born","TOT","Total","P_RATE","Participation rate","2014","2014","PC","Percentage","0","Units",,,74.1,,
"AUS","Australia","FB","Foreign-born","TOT","Total","P_RATE","Participation rate","2015","2015","PC","Percentage","0","Units",,,74.6,,
"AUS","Australia","FB","Foreign-born","TOT","Total","P_RATE","Participation rate","2016","2016","PC","Percentage","0","Units",,,74.7,,
"AUS","Australia","FB","Foreign-born","TOT","Total","P_RATE","Participation rate","2017","2017","PC","Percentage","0","Units",,,75.2,,
"AUS","Australia","FB","Foreign-born","TOT","Total","P_RATE","Participation rate","2018","2018","PC","Percentage","0","Units",,,76.2,,
"AUS","Australia","FB","Foreign-born","TOT","Total","P_RATE","Participation rate","2019","2019","PC","Percentage","0","Units",,,76.5,,
"AUT","Austria","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2000","2000","PC","Percentage","0","Units",,,76.1,,
"AUT","Austria","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2001","2001","PC","Percentage","0","Units",,,76.6,,
"AUT","Austria","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2002","2002","PC","Percentage","0","Units",,,73.4,,
"AUT","Austria","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2003","2003","PC","Percentage","0","Units",,,75.6,,
"AUT","Austria","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2004","2004","PC","Percentage","0","Units",,,70.2,,
"AUT","Austria","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2005","2005","PC","Percentage","0","Units",,,71.1,,
"AUT","Austria","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2006","2006","PC","Percentage","0","Units",,,72.5,,
"AUT","Austria","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2007","2007","PC","Percentage","0","Units",,,75,,
"AUT","Austria","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2008","2008","PC","Percentage","0","Units",,,74.9,,
"AUT","Austria","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2009","2009","PC","Percentage","0","Units",,,72.5,,
"AUT","Austria","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2010","2010","PC","Percentage","0","Units",,,73.5,,
"AUT","Austria","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2011","2011","PC","Percentage","0","Units",,,75,,
"AUT","Austria","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2012","2012","PC","Percentage","0","Units",,,73.5,,
"AUT","Austria","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2013","2013","PC","Percentage","0","Units",,,72.7,,
"AUT","Austria","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2014","2014","PC","Percentage","0","Units",,,71.1,,
"AUT","Austria","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2015","2015","PC","Percentage","0","Units",,,71.7,,
"AUT","Austria","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2016","2016","PC","Percentage","0","Units",,,70.8,,
"AUT","Austria","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2017","2017","PC","Percentage","0","Units",,,72.3,,
"AUT","Austria","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2018","2018","PC","Percentage","0","Units",,,75.3,,
"AUT","Austria","FB","Foreign-born","MEN","Men","N_RATE","Employment rate","2019","2019","PC","Percentage","0","Units",,,75.2,,
"AUT","Austria","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2000","2000","PC","Percentage","0","Units",,,8.7,,
"AUT","Austria","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2001","2001","PC","Percentage","0","Units",,,7.6,,
"AUT","Austria","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2002","2002","PC","Percentage","0","Units",,,10,,
"AUT","Austria","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2003","2003","PC","Percentage","0","Units",,,9.5,,
"AUT","Austria","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2004","2004","PC","Percentage","0","Units",,,11.2,,
"AUT","Austria","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2005","2005","PC","Percentage","0","Units",,,10.8,,
"AUT","Austria","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2006","2006","PC","Percentage","0","Units",,,9.7,,
"AUT","Austria","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2007","2007","PC","Percentage","0","Units",,,8.4,,
"AUT","Austria","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2008","2008","PC","Percentage","0","Units",,,7.3,,
"AUT","Austria","FB","Foreign-born","MEN","Men","U_RATE","Unemployment rate","2009","2009","PC","Percentage","0","Units",,,10.7,,
